Child FI Rate,Unemployment Rate
21.30,2.80
13.30,3.80
17.40,3.70
16.80,3.10
20.40,5.30
27.80,2.50
8.20,4.40
20.90,2.80
17.00,3.70
18.40,3.00
11.30,3.10
15.90,4.10
16.70,2.80
15.60,3.40
20.30,5.00
26.90,3.10
17.30,4.50
19.50,4.70
18.30,3.10
14.20,5.20
19.50,4.10
23.30,3.20
15.80,2.80
15.60,4.50
21.70,4.80
25.00,3.10
16.20,2.90
16.80,4.20
24.10,3.90
21.80,3.20
13.70,9.70
25.80,4.40
28.60,4.00
15.30,3.60
16.20,2.50
17.20,3.60
16.30,3.00
17.70,3.10
15.00,2.10
11.70,2.70
13.10,3.60
21.90,1.80
12.30,3.70
17.60,4.90
16.80,2.60
10.40,2.80
10.70,7.90
26.60,4.60
17.80,5.40
15.90,3.60
19.80,3.90
13.80,3.40
15.00,4.30
21.70,3.40
15.20,2.50
18.40,7.50
27.30,1.90
9.70,3.60
16.40,3.90
17.40,7.30
28.20,3.40
14.50,4.30
22.10,3.90
14.70,3.90
15.60,4.60
18.20,4.10
22.80,2.90
14.10,4.20
19.20,3.70
16.90,4.20
20.70,3.10
10.90,4.60
23.10,5.30
20.60,6.50
25.80,2.30
13.70,4.10
20.30,3.50
13.00,3.10
14.00,3.40
18.30,2.60
17.90,3.00
18.90,3.10
14.10,5.00
22.90,3.40
19.80,3.40
13.60,2.90
18.40,2.40
19.60,5.00
19.10,3.40
18.00,4.60
22.00,2.30
14.70,2.80
16.80,3.00
17.60,3.40
22.10,2.40
16.10,3.40
19.80,2.30
15.40,3.00
14.40,2.30
16.30,2.20
14.60,2.20
16.30,2.80
16.90,3.20
19.20,2.40
12.50,2.50
14.20,2.10
18.30,3.60
17.40,2.70
17.90,2.80
16.50,2.90
18.90,3.00
18.50,2.80
18.80,3.10
16.90,2.20
15.60,2.50
17.20,3.00
21.30,2.60
20.10,2.60
18.30,3.20
18.40,2.40
16.70,2.40
17.20,2.50
14.70,2.60
23.20,2.60
17.90,3.20
17.40,2.50
14.70,2.30
18.80,2.20
17.80,3.40
20.80,2.60
15.90,3.70
24.20,3.10
17.80,2.50
19.00,3.60
18.20,2.10
17.00,3.00
18.60,2.20
16.30,2.70
17.00,3.10
18.80,2.60
16.20,3.00
18.10,2.80
15.60,3.00
17.60,2.70
22.70,2.50
17.70,2.80
17.50,2.70
15.70,2.40
17.30,3.50
18.80,2.70
21.00,2.90
19.60,2.60
21.60,2.00
14.90,2.30
15.50,2.70
15.30,2.70
13.70,2.40
16.30,2.40
18.70,3.00
22.10,2.40
16.00,3.00
16.10,2.70
13.00,2.80
17.20,3.30
18.20,2.60
14.80,2.50
24.90,2.60
19.20,2.60
17.20,2.50
14.80,2.30
16.90,2.70
18.50,4.10
26.70,2.90
17.20,2.80
16.00,2.50
13.50,2.80
18.20,2.40
20.20,2.50
17.20,3.80
18.10,4.60
19.30,4.20
19.10,3.10
16.90,5.00
19.30,2.50
20.30,3.30
15.80,3.50
18.80,4.30
21.50,5.30
21.10,5.10
31.30,5.60
25.90,4.00
20.90,4.30
23.00,3.50
16.80,3.60
19.30,4.60
22.90,2.60
14.60,2.60
15.00,2.60
13.70,3.30
18.60,2.20
14.30,2.70
11.50,2.30
11.90,2.90
10.10,2.40
12.50,2.20
14.20,5.70
17.10,3.30
7.10,3.60
10.40,4.50
14.10,8.20
18.70,6.20
18.00,5.00
15.50,4.10
11.20,3.70
12.40,3.10
6.90,3.50
11.00,3.50
8.70,3.50
9.10,3.10
6.00,4.10
14.50,4.90
14.00,5.30
17.50,3.30
5.90,3.80
9.50,4.10
10.20,3.70
11.30,4.50
20.50,6.40
34.80,4.90
23.20,6.20
31.10,4.90
27.90,4.00
23.70,4.40
20.30,5.70
25.80,3.30
18.20,4.80
24.40,5.50
22.10,5.40
31.00,3.80
27.20,4.10
18.20,4.60
23.30,3.40
13.40,11.80
33.90,7.10
34.50,6.10
23.70,4.90
25.20,4.80
30.00,5.20
20.00,4.30
25.70,4.90
19.80,5.80
26.20,5.90
28.30,4.10
17.70,7.00
33.70,5.30
29.50,6.50
24.10,7.60
28.60,3.30
24.40,5.40
23.10,3.70
15.70,5.60
23.80,5.60
23.50,4.90
21.30,5.30
22.20,4.50
19.00,5.00
23.00,4.60
20.70,4.70
21.50,4.40
20.20,3.30
17.50,5.10
19.40,4.80
23.80,3.70
14.10,4.40
19.20,4.80
18.60,5.10
22.60,5.10
21.80,4.20
18.70,4.50
17.60,6.80
22.30,4.90
21.30,5.60
20.90,4.20
19.60,5.50
22.30,4.30
17.90,4.80
17.10,4.20
18.90,5.10
23.40,3.50
9.50,3.70
14.60,5.20
19.90,4.40
21.10,4.00
18.60,3.90
15.80,3.90
15.60,4.90
21.10,5.50
23.80,4.30
18.90,3.70
10.10,3.60
14.10,3.90
17.90,4.10
14.70,3.70
16.60,5.60
23.30,3.50
12.90,4.00
16.60,4.80
20.30,5.10
21.60,3.80
18.60,4.90
20.90,3.80
11.20,4.10
19.10,4.40
17.80,3.60
15.00,3.90
16.90,4.60
18.30,4.20
18.60,4.10
18.30,3.90
11.00,4.60
18.50,3.80
17.20,3.80
19.70,3.20
21.50,4.60
28.90,4.50
24.60,3.70
21.50,3.70
20.10,4.70
22.80,5.00
28.20,5.40
27.60,5.40
21.60,3.00
16.80,3.70
22.70,3.70
15.20,3.90
21.10,3.80
18.60,4.40
19.90,4.50
25.10,3.60
17.90,3.40
17.30,4.50
23.10,4.50
23.70,4.40
23.90,4.00
22.80,5.10
27.30,4.30
21.80,5.30
22.80,3.60
16.30,5.20
17.30,3.70
20.20,3.50
19.20,4.40
24.80,3.60
17.30,7.00
28.10,3.90
18.80,4.10
19.50,4.00
20.10,4.10
21.50,5.90
25.80,3.50
18.50,3.90
26.50,4.30
19.00,6.20
28.10,4.80
19.90,3.50
21.00,3.30
16.30,5.10
28.20,5.10
23.00,8.30
26.60,3.70
17.20,4.30
20.70,3.70
18.00,4.30
30.80,4.50
19.40,4.00
27.70,3.50
19.10,3.50
21.80,4.00
22.70,3.70
21.70,5.10
23.60,3.90
15.20,4.60
21.20,4.10
20.90,3.90
18.70,5.20
21.40,3.90
18.70,5.20
28.00,4.90
20.50,3.30
12.20,4.20
23.10,4.90
21.30,4.30
19.40,4.90
21.80,4.20
25.20,4.40
21.20,3.90
18.10,3.80
20.10,5.60
27.70,6.00
28.00,4.70
22.40,4.10
21.30,5.20
23.70,4.10
24.10,7.50
31.10,3.70
19.80,3.70
20.10,3.60
21.30,4.40
22.80,3.80
23.30,6.40
31.20,3.60
13.40,5.90
27.00,3.50
13.10,6.10
24.90,6.10
32.90,3.60
17.90,4.40
24.40,3.80
23.80,6.30
26.00,3.40
20.40,3.70
21.80,1.90
7.30,2.50
10.80,3.70
26.10,2.60
9.60,3.20
13.10,1.80
6.20,2.20
7.50,2.50
8.40,2.20
8.90,2.50
10.70,1.70
6.20,1.20
10.90,1.50
8.70,4.70
18.40,4.60
11.60,2.50
9.10,1.90
8.60,2.10
10.90,2.50
11.00,2.10
11.10,1.90
11.00,4.20
12.80,1.90
11.90,2.30
8.20,3.80
11.00,2.50
10.90,1.60
10.60,3.10
9.90,4.00
9.60,3.10
9.00,1.50
8.60,3.20
13.60,3.90
12.60,3.80
9.70,3.00
15.60,2.70
11.80,1.80
8.40,2.30
7.80,2.50
9.10,9.00
28.70,1.80
7.20,4.40
16.30,4.00
23.90,2.00
8.90,2.30
7.20,1.90
9.70,2.40
13.30,2.40
12.80,2.50
7.70,3.00
9.50,2.70
9.30,2.90
9.00,1.90
6.80,7.00
27.30,4.50
19.80,4.60
19.10,5.20
23.80,5.70
24.90,3.30
14.00,5.50
20.50,5.40
21.60,4.10
16.50,5.30
19.10,3.80
18.20,4.60
21.10,4.10
15.60,5.20
19.90,5.10
21.50,6.20
23.30,5.20
22.10,4.90
21.60,3.90
16.90,4.40
16.80,3.40
9.40,5.60
19.50,4.10
15.60,4.10
21.40,3.80
17.80,4.40
15.70,6.00
26.70,4.00
13.30,4.00
16.70,5.50
26.00,4.10
18.70,3.40
15.30,4.40
19.80,5.20
23.30,4.90
17.40,5.50
24.50,5.10
20.60,3.30
15.00,5.90
20.30,6.50
25.70,6.30
24.90,4.30
19.20,4.40
15.80,5.60
25.10,4.00
17.80,3.70
18.60,5.00
19.40,5.20
22.00,3.80
17.00,5.90
23.00,4.40
21.90,3.90
13.70,7.20
28.10,2.70
12.90,3.90
15.70,7.70
26.30,4.50
21.40,6.00
25.90,4.60
17.40,5.30
22.10,6.70
26.50,6.30
20.10,4.10
17.10,5.60
23.40,4.30
18.00,6.50
27.00,4.60
17.70,4.10
17.90,3.30
12.70,4.90
20.20,4.50
22.60,4.50
18.30,6.70
27.80,4.40
19.80,3.80
15.30,4.90
19.80,4.70
18.20,6.20
24.00,4.60
18.90,3.50
12.60,3.50
16.10,6.20
27.80,3.80
11.40,5.60
22.50,3.60
17.30,3.60
18.70,4.00
14.10,3.20
14.30,4.00
29.50,2.10
17.30,4.00
26.70,1.90
14.90,2.50
17.50,1.90
20.30,3.00
23.00,3.40
24.00,2.60
15.80,3.40
22.30,4.00
23.70,4.80
30.50,1.80
17.90,2.80
16.70,3.60
27.30,3.70
22.00,3.00
20.90,3.30
25.40,3.70
21.80,2.30
16.80,3.80
27.60,1.80
21.80,2.10
20.60,2.90
19.10,3.10
20.40,2.90
19.10,2.00
18.10,3.90
24.90,2.80
18.20,2.20
15.20,4.90
28.20,4.00
27.30,2.90
20.40,3.20
27.60,2.80
25.90,4.50
24.90,2.00
17.30,4.00
26.50,5.70
28.80,4.40
27.10,3.40
21.80,2.90
17.90,2.10
18.90,2.70
16.10,5.30
27.80,5.60
30.60,2.00
18.20,3.60
24.50,3.20
24.10,2.80
22.10,3.80
25.20,2.50
18.90,4.00
22.60,4.50
26.10,3.20
20.20,4.70
26.40,4.10
24.70,3.30
26.40,4.00
22.20,2.80
19.40,3.70
24.80,2.90
20.40,3.60
22.60,5.00
28.00,2.30
22.10,3.20
18.30,4.50
26.60,4.10
29.20,3.80
22.80,2.60
15.40,3.60
22.80,3.20
19.80,3.20
19.30,3.70
21.60,2.90
18.50,2.00
17.30,2.60
18.30,5.20
23.00,3.10
12.90,3.60
12.60,4.00
15.50,4.90
18.00,5.20
24.00,5.80
22.60,5.90
20.10,4.10
15.00,5.20
22.60,3.70
15.60,6.90
23.90,5.80
24.00,3.20
10.10,4.60
19.00,5.30
20.50,5.40
23.10,6.20
23.80,5.40
20.90,4.30
18.90,4.70
22.40,4.60
18.60,4.40
20.60,4.20
16.20,4.20
16.30,3.60
15.30,4.20
15.60,3.90
19.10,4.20
20.00,4.80
19.30,5.20
19.80,5.80
24.30,4.10
17.00,3.40
11.50,3.30
23.80,3.60
16.60,3.40
12.30,4.20
14.30,5.20
18.10,4.70
16.10,4.70
17.20,4.30
13.70,4.40
17.60,4.50
16.30,3.90
9.40,4.00
11.60,5.40
20.40,5.20
18.90,5.20
18.30,3.40
10.90,3.30
7.90,5.00
18.10,5.20
20.50,5.50
19.60,4.90
15.90,4.80
18.00,3.50
11.10,4.10
15.00,4.20
12.50,4.00
15.30,4.90
18.30,6.10
22.30,6.40
27.60,3.80
14.20,4.10
15.60,5.00
18.70,5.50
18.80,5.10
17.60,4.80
18.00,4.20
15.60,4.70
17.10,3.50
12.10,5.30
18.70,3.90
13.10,4.80
13.70,5.60
18.60,5.00
18.00,5.00
21.00,4.90
19.40,4.80
19.20,5.50
14.80,3.60
8.80,3.60
14.70,4.60
12.60,5.40
18.20,3.90
13.00,5.70
22.00,5.50
16.10,5.50
19.60,5.40
17.60,4.10
14.80,5.30
18.50,5.10
18.70,4.10
16.90,5.30
18.50,3.90
13.40,5.10
19.10,4.60
18.50,4.50
13.60,4.90
16.60,4.60
14.80,4.70
15.20,4.00
13.50,3.50
12.00,3.70
14.80,3.60
13.60,4.40
17.80,3.60
13.30,3.90
21.00,3.30
15.10,5.60
26.30,3.20
14.90,6.40
27.30,4.70
26.20,3.20
12.50,3.00
12.20,4.20
16.60,2.70
12.20,3.60
17.50,4.80
19.80,3.20
19.30,4.60
23.00,3.90
19.00,4.00
19.90,4.70
25.80,3.00
12.00,3.40
15.10,6.20
22.90,3.60
17.10,4.50
19.10,2.90
11.00,3.60
20.40,3.40
16.70,4.20
18.20,3.00
18.90,3.50
14.80,3.70
14.30,3.50
19.30,4.50
24.00,2.80
12.10,3.40
25.50,5.40
21.90,5.00
24.80,3.00
16.60,3.30
17.50,5.70
22.50,3.30
12.80,3.40
13.50,3.10
13.40,3.10
14.30,4.00
19.20,4.10
21.70,5.40
22.40,3.20
10.50,2.80
13.90,2.50
19.60,4.30
27.80,2.40
16.60,2.70
12.70,2.70
15.00,2.60
20.70,5.70
29.90,3.10
16.30,3.80
13.20,3.00
20.90,3.80
19.20,2.70
16.80,2.90
16.20,3.90
31.10,3.90
21.60,2.50
17.40,4.10
22.20,4.30
16.50,8.40
28.60,2.50
13.60,2.50
11.10,3.60
22.80,2.80
12.40,3.10
15.50,3.10
18.70,2.50
18.70,3.00
12.70,2.20
14.90,4.50
15.60,2.30
11.50,2.40
16.00,2.60
15.60,2.80
19.70,4.70
32.10,2.30
11.80,2.50
18.00,2.70
15.00,3.20
15.60,2.80
16.20,2.20
9.80,4.00
23.00,2.40
13.90,3.60
17.50,3.60
13.70,3.20
14.00,4.60
32.70,2.60
15.10,2.50
14.40,2.80
17.00,9.90
38.10,2.90
18.10,2.70
15.80,3.40
16.10,4.10
22.80,2.80
16.20,3.30
16.20,2.50
11.40,2.50
10.20,5.90
34.50,2.40
21.20,2.60
15.80,3.00
13.20,4.70
16.60,2.50
16.40,5.00
30.90,3.80
17.60,3.70
15.80,4.90
22.90,5.90
23.50,3.20
13.50,3.60
17.20,4.80
22.70,3.10
18.00,4.90
20.60,4.10
23.00,2.70
12.10,3.70
17.50,4.20
23.70,4.90
22.00,4.70
25.50,3.50
16.60,3.90
18.60,4.30
20.20,2.60
14.40,5.00
20.00,4.50
18.00,3.00
14.70,4.60
19.20,3.70
16.10,4.10
21.30,3.40
16.20,4.30
19.30,3.60
16.30,3.90
20.00,4.60
20.50,4.40
23.20,3.80
18.40,3.40
14.10,4.90
26.80,4.90
20.70,4.40
19.80,4.00
21.90,5.30
20.70,4.70
19.80,4.20
21.80,3.20
17.60,5.40
21.70,4.30
19.50,4.70
23.60,3.80
16.70,3.50
23.70,2.90
13.10,5.10
26.30,5.80
23.90,4.00
19.60,4.40
22.10,3.00
17.00,3.40
14.40,4.10
19.50,5.50
20.40,3.20
17.10,3.80
18.60,4.70
20.80,3.40
15.40,3.20
13.10,4.50
19.60,3.70
19.60,3.80
13.80,3.00
11.90,4.50
22.00,4.90
22.80,3.70
16.90,4.30
25.40,3.80
22.90,4.20
18.10,3.60
16.00,5.60
23.00,4.10
17.00,3.10
13.20,2.70
10.50,4.40
22.30,4.30
19.60,3.50
16.50,4.10
18.70,3.00
14.90,4.90
19.50,3.70
19.70,2.80
11.50,4.20
15.70,3.20
16.00,4.90
22.70,4.00
20.70,4.70
23.30,4.00
22.20,3.50
16.10,4.80
21.70,4.20
19.00,3.60
18.70,2.50
5.10,2.80
10.50,3.10
22.90,2.40
14.30,4.40
26.10,6.00
28.90,3.10
21.10,2.70
19.70,3.80
19.70,3.70
19.60,4.40
19.80,3.40
25.90,3.40
17.60,3.20
19.90,5.10
25.70,4.20
23.10,3.40
20.00,2.60
21.10,3.20
25.20,3.70
25.80,5.00
26.50,4.60
17.80,2.90
19.60,3.40
19.60,3.90
19.90,6.40
32.70,3.70
22.70,3.60
22.70,2.90
21.10,3.70
20.80,4.10
21.60,3.40
23.70,6.20
27.30,4.90
26.50,2.80
18.20,5.10
31.20,2.90
19.60,5.40
21.20,4.10
24.20,2.60
17.90,3.20
24.90,4.40
24.50,3.40
23.30,3.90
26.00,3.30
15.50,3.10
22.80,3.30
19.90,3.20
18.40,3.60
25.10,3.60
18.20,3.10
23.70,4.20
24.30,4.30
36.00,3.90
14.70,2.90
22.00,4.70
25.40,3.10
35.00,2.10
19.10,3.80
21.10,4.30
25.40,2.80
18.20,3.50
30.60,3.20
15.90,3.10
20.70,4.30
24.70,3.00
27.00,3.50
25.80,5.30
29.40,3.40
28.50,2.70
16.10,2.80
19.60,3.30
18.70,4.20
22.00,3.10
20.90,3.90
30.60,3.10
21.90,2.80
19.30,3.20
24.10,5.20
23.30,2.90
19.80,4.00
16.60,4.20
21.60,5.90
27.30,2.90
21.60,2.60
18.60,4.70
21.90,3.00
22.40,2.60
20.10,2.10
12.20,3.80
25.10,3.00
21.40,3.90
24.00,3.30
23.50,4.10
24.70,4.10
26.60,3.20
17.50,4.80
21.60,4.40
27.30,3.30
26.80,2.30
20.40,3.60
24.30,5.20
24.10,4.40
21.20,4.40
23.60,1.80
16.50,3.90
27.90,3.00
16.60,2.10
20.10,3.80
26.40,6.60
27.80,3.70
25.00,3.10
20.50,3.70
21.40,3.40
25.00,3.70
31.70,3.30
21.90,4.60
32.90,3.80
24.90,5.00
25.90,3.10
20.50,2.50
23.90,3.30
21.10,6.60
29.60,2.90
21.90,6.40
27.70,5.70
29.90,5.50
24.50,3.50
19.70,4.80
24.80,2.90
21.90,3.50
20.50,2.90
16.00,3.70
17.80,2.40
27.10,3.20
23.40,3.00
28.30,2.80
21.00,4.40
26.20,5.00
24.60,3.60
24.60,3.80
27.30,4.40
25.60,3.80
22.10,2.40
17.30,3.10
21.80,3.10
20.90,5.00
27.80,5.80
25.90,4.70
28.90,2.70
19.10,3.80
22.70,3.70
25.70,1.50
27.60,3.10
20.80,3.30
25.00,3.30
22.90,3.60
23.60,2.00
19.00,4.40
23.10,4.50
31.40,2.50
16.50,3.10
23.60,6.20
27.60,8.20
27.10,3.50
18.20,4.10
20.00,2.10
14.60,5.50
25.90,3.50
26.50,4.20
18.20,3.20
24.40,3.80
18.50,2.70
18.70,6.60
29.20,3.70
20.90,3.90
26.60,3.70
24.90,6.70
32.10,3.30
21.60,4.70
21.10,2.80
16.20,2.60
19.40,5.80
26.30,3.40
25.60,4.20
26.60,3.10
18.90,2.40
19.60,3.70
16.70,5.10
30.00,2.90
21.80,7.00
32.30,3.50
21.10,2.60
17.20,2.50
16.00,5.10
32.30,5.40
27.90,2.10
14.30,4.60
27.60,2.80
21.60,4.20
20.90,3.20
15.70,3.10
20.40,4.10
23.40,8.00
38.80,6.50
35.80,5.00
27.30,6.40
24.30,3.10
24.70,2.80
16.30,3.40
19.70,2.30
22.90,4.30
30.10,2.60
21.10,3.70
23.00,4.10
26.50,10.20
33.20,3.60
28.60,3.40
15.90,3.40
23.40,3.80
15.50,4.30
26.80,3.50
19.80,3.20
22.20,3.40
19.20,4.10
22.90,3.30
23.30,5.10
24.50,3.20
20.10,2.90
17.20,5.20
31.20,6.60
30.40,4.20
24.30,3.40
21.10,4.30
20.80,3.90
21.30,3.50
24.20,3.90
20.90,4.20
23.00,4.30
21.40,2.60
16.90,3.60
23.00,3.80
23.30,3.70
23.40,3.20
24.50,3.40
24.80,4.20
27.10,9.90
33.90,3.10
16.00,3.10
17.40,2.90
17.70,3.50
23.20,4.30
27.30,2.90
13.30,3.20
21.90,5.60
31.50,9.70
39.70,3.30
15.00,2.80
14.60,2.50
13.60,4.20
18.00,4.30
17.40,2.70
11.30,4.30
17.20,4.50
19.70,7.40
26.60,4.50
14.50,3.40
18.00,2.80
15.60,3.00
15.00,3.10
15.50,2.60
9.10,5.00
25.40,3.10
19.00,2.80
12.20,5.90
25.60,3.50
16.90,3.30
17.60,2.80
8.40,3.20
12.60,4.40
16.20,2.70
11.70,3.00
11.60,3.20
16.30,5.70
16.60,3.30
14.40,2.50
13.10,3.10
16.80,3.20
17.70,2.00
12.30,3.60
19.60,2.50
11.80,3.20
12.60,3.50
17.50,2.60
16.10,4.40
17.80,3.10
15.60,2.60
15.50,2.80
17.20,2.30
15.00,3.80
19.00,2.60
9.60,3.70
21.30,3.20
15.50,3.30
16.30,3.60
16.90,2.00
4.10,2.70
12.20,2.50
11.80,3.00
12.80,3.10
13.30,2.70
12.00,4.90
25.40,5.40
29.30,4.40
18.50,3.30
14.60,3.40
11.90,3.60
16.60,4.00
17.10,3.60
24.50,2.90
9.50,2.90
12.60,3.50
12.70,2.80
9.50,3.20
21.50,5.10
26.30,3.50
15.30,3.80
15.40,2.40
5.60,2.60
8.10,2.70
11.80,2.50
9.00,3.00
18.10,2.60
9.10,3.30
15.40,2.70
13.10,2.90
9.50,3.00
23.30,2.50
9.80,3.60
18.90,4.00
17.60,2.60
8.80,3.00
12.30,3.70
22.10,2.70
16.10,2.90
13.40,2.90
11.20,3.00
20.20,2.90
10.10,2.90
15.10,4.30
15.10,4.10
23.80,2.40
3.90,2.70
14.20,3.20
20.30,2.40
10.80,2.90
14.60,4.00
21.30,2.70
12.00,2.90
12.00,3.10
14.60,2.70
9.20,5.30
21.40,4.40
19.30,3.00
17.00,3.00
14.50,4.10
21.20,3.80
22.90,3.50
18.90,2.60
9.20,3.80
16.60,3.60
14.00,2.70
6.90,3.40
17.80,2.70
11.80,3.10
15.50,2.70
10.80,3.00
15.40,2.60
11.30,4.20
21.50,3.20
19.70,2.80
13.00,3.90
21.80,2.70
14.50,3.00
10.50,2.90
7.20,3.30
16.90,4.90
21.10,4.30
21.10,3.00
13.60,3.30
18.80,3.60
13.00,4.90
25.00,3.70
19.00,2.80
9.20,2.20
9.10,3.70
25.60,3.10
16.50,2.50
13.10,3.00
12.20,3.30
16.20,4.60
19.70,5.00
23.10,4.70
25.60,2.20
4.80,2.10
2.40,4.30
17.60,3.40
12.90,3.40
22.90,4.00
17.90,3.40
11.10,4.70
22.40,4.60
15.20,4.00
18.30,2.70
6.80,2.70
8.40,4.50
24.40,3.60
16.80,3.60
18.30,3.90
27.00,6.10
26.50,2.60
8.90,4.00
19.30,3.70
15.20,3.50
21.90,3.20
19.30,2.90
12.00,2.80
15.70,3.20
13.40,2.80
10.70,3.20
17.90,4.00
12.80,2.90
14.90,5.30
18.70,4.20
20.60,5.20
17.60,4.50
15.00,6.30
25.20,4.70
15.40,5.50
20.20,5.80
22.40,5.20
18.70,11.40
31.00,6.00
16.40,5.70
21.10,6.20
16.50,6.60
23.60,5.10
17.60,5.70
23.40,3.30
12.10,4.60
16.50,5.40
16.30,5.60
20.30,6.20
21.70,4.80
22.00,6.20
23.80,6.30
23.40,6.80
27.00,7.00
23.30,5.10
17.10,3.80
16.20,5.10
17.20,5.50
20.30,3.60
13.20,5.10
19.50,7.00
23.70,4.70
16.40,6.60
20.80,4.60
16.50,4.70
16.40,4.30
16.60,6.20
18.60,5.90
23.50,4.00
15.10,6.10
27.40,7.00
25.20,6.00
18.90,4.70
19.70,10.40
26.60,8.40
28.00,3.90
15.70,6.30
25.00,6.30
18.40,5.70
16.90,5.00
20.30,4.20
23.60,5.80
18.90,5.50
18.10,4.50
17.20,4.00
16.50,3.30
10.70,5.10
19.90,5.50
23.30,6.90
27.90,6.90
26.30,9.30
34.60,5.70
19.30,5.80
18.90,6.90
22.70,6.20
24.50,5.40
18.90,7.50
30.90,4.10
13.40,4.80
22.10,4.30
12.10,6.40
22.70,4.60
15.70,3.70
18.40,6.20
20.70,6.10
24.20,5.20
18.90,4.90
12.20,5.20
21.20,5.50
19.90,5.30
20.80,7.80
25.00,6.10
27.20,4.80
19.80,5.40
20.30,7.20
20.70,5.70
21.30,5.90
24.40,6.30
26.90,7.10
27.10,6.90
26.30,5.40
20.30,6.90
26.80,4.70
23.50,4.30
19.50,3.40
17.10,4.90
20.00,2.80
13.10,3.40
14.20,4.60
20.70,2.60
10.80,3.30
15.80,2.90
15.40,2.70
13.00,3.70
18.50,2.30
10.70,2.60
13.20,3.60
14.40,4.00
17.10,3.10
14.30,2.60
13.90,3.80
17.40,2.70
13.20,4.80
21.30,2.80
14.70,2.60
12.70,3.30
15.90,2.60
12.10,5.80
21.40,3.10
16.50,2.90
12.90,3.10
19.00,3.50
16.10,2.90
12.70,2.60
12.40,2.30
14.30,4.00
20.00,3.10
14.20,3.10
15.10,2.70
13.70,4.00
19.30,3.50
17.10,5.70
29.10,3.70
19.00,2.80
16.90,3.30
15.40,3.60
15.40,2.80
12.90,2.50
9.40,3.20
16.80,3.20
12.30,3.70
16.10,3.00
13.20,3.70
16.80,3.60
15.50,2.60
16.80,3.30
17.20,4.00
20.40,3.00
10.30,2.60
14.60,4.30
22.40,3.00
15.30,2.50
11.80,3.10
15.00,2.90
12.00,2.90
17.90,4.00
18.60,3.00
12.90,3.90
19.60,2.60
10.20,2.70
9.70,3.00
16.10,3.50
16.60,2.80
14.30,3.50
16.00,3.30
14.00,4.70
17.70,4.10
15.90,3.70
14.90,3.70
15.30,3.20
11.10,5.20
19.90,3.30
16.20,3.60
19.80,4.00
17.20,3.90
15.10,3.80
15.10,4.60
16.70,2.80
17.10,4.40
15.10,3.70
18.90,4.00
14.40,4.30
14.80,4.20
15.40,3.00
8.40,4.30
18.70,4.20
18.40,3.50
22.30,13.70
