State/Territory,SLP 2015,SLP 2016,SLP 2017,SLP 2018,SLP 2019,SBP 2015,SBP 2016,SBP 2017,SBP 2018,SBP 2019
Alabama,531305.29,525930.96,511642.93,499631.31,499934.32,254270.29,266909.39,271325.18,267279.64,272445.76
Alaska,53616.92,52479.8,53577.97,53653.48,53285.15,25111.23,25979.14,26769.15,27000.6,26945.94
Arizona,647425.75,641045.19,638136.16,627715.57,619296.78,308742.42,315991.85,314725.64,313831.48,312287.91
Arkansas,320921.37,317039.31,314201.49,310996.64,312580.73,180120.94,183707.18,184850.89,189763.51,194175
California,3271743.98,3251959.37,3215762.44,3177215.75,3153140.96,1691158.94,1722908.91,1727064.13,1706654.2,1696893.56
Colorado,378228.93,376744.22,368667.51,367376,360203.76,185013.66,187317.63,183179.43,179740.26,168694.59
Connecticut,288268.37,288155.94,283197.77,278107.76,284285.51,101002.88,108076.35,108240.44,107818.05,114392.78
Delaware,97995.09,98527.99,98976.87,97980.46,98370.61,47980.1,51377.68,52745.77,52918.97,54008.75
District of Columbia,52668.34,53885.53,52710.78,56094.57,52641.5,34498.74,35798.15,35028.65,37491.91,35372.77
Florida,1675729.59,1704152.58,1715860.24,1752598.59,1725923.89,786513.48,832401.05,855007.07,866072.64,864423.95
Georgia,1236153.54,1224626.87,1211207.48,1190337.65,1174601.94,626930.24,646702.03,649923.89,646451.88,649674.22
Hawaii,109589.96,106992.93,103947.26,102751.41,103712.33,37812.78,36453.55,34765.79,32405.01,32517.08
Idaho,157015.58,157148.75,155249.19,151936.71,148762.2,77489.03,80394.58,78542.01,75064.49,70359.22
Illinois,1108555.44,1084030.44,1059265.97,1044212.99,1014944.38,423306.36,431275.32,424740.02,439344.48,442135.32
Indiana,768261.66,754994.85,743330.82,734632.87,727813.02,272047.23,280446.36,283075.15,283659.24,284390.51
Iowa,381698.55,381877.26,377927.36,373033.44,373442.29,98260.34,103663.19,103257.94,102432.58,104152.1
Kansas,345398.06,342539.73,338077.31,333287.19,331043.63,115826.92,119168.76,120177.03,118836.63,124468.66
Kentucky,525265.73,528663.31,525318.71,515845.5,514523.55,283064.96,303016.18,311921.49,317906.39,327565.26
Louisiana,548567.3,548135.56,550544.05,548081.51,545226.3,267794.44,275216.59,283968.6,290706.82,295482.44
Maine,100272.32,99421.55,97730.43,96194.77,95317.75,48563.95,50073.47,50072.76,50399.62,52184.59
Maryland,434524.87,446282.75,445432.94,443313.2,441983.7,264718.09,277328.78,271669.66,265042.67,262883.02
Massachusetts,528262.02,531646.89,529821.89,527936.83,526432.34,175493.11,192888.53,204474.65,210410.88,214920.77
Michigan,842733.91,823888.05,801891.05,793468.66,803268.73,399349.63,404077.43,402252.07,399205.44,403683.69
Minnesota,613987.29,616256.62,613845.86,610080.91,605577.61,214844.66,225106.08,233297.85,237726.72,239918.61
Mississippi,384627.59,381641.62,371355.03,361804.27,354127.17,203930.72,205114.59,203708.74,200118.78,197690.64
Missouri,603692.68,598665.35,586909.39,578289.58,559431.26,280750.33,288215.27,283779.34,288907.35,290152.34
Montana,81871.75,82746.61,82175,80853.89,79205.32,31311.04,32760.76,34182.43,38369.77,39453.07
Nebraska,241037.04,242254.35,242851.73,244088.7,243570.18,70327.22,75386.91,77355.75,80334.17,81524.51
Nevada,216392.07,222217.91,224528.35,227932.76,230150.07,93943.79,121311.28,139251.23,135805.35,132618.24
New Hampshire,88737.14,85946.42,83276.04,80656.24,80343.16,20577.01,21661.27,21051.9,21702.15,22319.31
New Jersey,695702.63,695986.34,694110.51,690360.54,667127.41,302630.83,322973.75,326873.55,324627.23,318980.58
New Mexico,216777.66,219436.89,217323.62,213969.68,208951.58,149737.26,155743.38,149960.09,147137.48,141631.55
New York,1698510.73,1679716.29,1663295.94,1683130.17,1688323.27,673331.54,724859.28,759449.72,773224.98,794770.71
North Carolina,903945.94,892866.83,866758.84,851197.17,835080.55,455909.15,465466.74,464599.42,456288.98,455308.4
North Dakota,90353.95,91373.73,91949.66,93070.96,93332.13,24947.86,26228.46,26520.2,28014.26,29269.57
Ohio,1019834.47,1013673.02,994188.78,984749.85,969721.92,433618.48,450164.57,449464.82,450290.18,450136.64
Oklahoma,440444.68,447425.03,442477.53,436688.84,432242.96,225685.48,232765.43,231253.63,226839.63,227654.68
Oregon,294407.65,303164.33,297119.98,293894.28,287377.32,141972.07,146580.73,144665.71,147041.11,144572.1
Pennsylvania,1034973.99,1029007.55,1021263.09,1017649.53,1011842.62,354807.14,385959.49,394451.28,406530.03,421021.22
Rhode Island,76254.11,77881.58,77398.54,76402.49,77704.66,32379.24,34153.42,34463.5,33607.93,34812.54
South Carolina,483026.13,478435.93,472538.18,472200.41,473925.93,266238.4,268231.81,267280.23,268147.07,268738.22
South Dakota,107351.79,108324.46,107494.07,106415.56,105327.22,28943.43,30048.3,29734.27,29608.65,29609.61
Tennessee,676702.86,671670.62,656161.21,653667.99,641334.05,376865.76,395113.63,390008.27,386907.47,382231.57
Texas,3379270.65,3377166.13,3348977.35,3222416.04,3361772.14,1902635.98,1928262.14,1909050.82,1918408.49,1937757.64
Utah,334253.03,334437.97,335492.51,333361.74,332276.64,76546.21,84556.99,87312.36,86015.34,85281.55
Vermont,49158.94,48450.2,47100.56,46480.52,45762.32,22703.94,24305.41,24708.98,25550.52,25197.41
Virginia,702669.9,702360.3,694907.59,702416.88,704412.92,284825.48,309980.7,329150.9,351368.57,359906.99
Washington,518076.71,521145.75,523338.85,517572.46,519313.8,188330.1,193262.5,195625.19,199595.95,203048.42
West Virginia,194292.82,193201.25,191543.81,186269.21,186879.3,150198.37,154201.37,155963.56,149357.19,149729.71
Wisconsin,541766.75,527339.33,510632.99,500434.14,504013.54,185094.33,192092.17,190113.87,192102.12,200693.28
Wyoming,51854.13,50876.06,49904.59,48141.32,47208.56,14683.45,15384.63,15706.7,16403.81,17303.49
